Clicks;Calls;Sites;Position;DayOfWeek;HasSocialAccounts;nom1;nom2;nom3;nom4;nom5;nom6
17;4;5;8;2;1;0;1;0;0;0;0
17;4;9;5;3;1;0;0;1;0;0;0
17;5;6;96;4;1;0;0;0;1;0;0
17;3;8;7;3;1;0;0;1;0;0;0
17;3;7;12;2;1;0;1;0;0;0;0
17;4;7;11;4;1;0;0;0;1;0;0
17;2;6;74;2;0;0;1;0;0;0;0
16;5;7;40;4;1;0;0;0;1;0;0
16;2;4;9;4;1;0;0;0;1;0;0
16;4;2;137;4;1;0;0;0;1;0;0
16;4;6;32;3;1;0;0;1;0;0;0
16;2;5;10;5;1;0;0;0;0;1;0
16;1;3;2;3;1;0;0;1;0;0;0
16;5;4;36;2;1;0;1;0;0;0;0
16;4;5;19;4;1;0;0;0;1;0;0
16;3;2;13;7;1;0;0;0;0;0;0
16;4;3;3;1;1;1;0;0;0;0;0
16;3;4;2;5;0;0;0;0;0;1;0
16;3;9;3;2;1;0;1;0;0;0;0
16;2;7;2;1;1;1;0;0;0;0;0
16;2;7;4;6;1;0;0;0;0;0;1
16;2;7;9;7;1;0;0;0;0;0;0
16;6;9;40;1;1;1;0;0;0;0;0
16;4;10;46;1;1;1;0;0;0;0;0
15;4;6;43;3;1;0;0;1;0;0;0
15;2;2;26;6;1;0;0;0;0;0;1
15;2;8;76;4;0;0;0;0;1;0;0
15;3;9;7;2;1;0;1;0;0;0;0
15;5;4;37;3;1;0;0;1;0;0;0
15;2;9;24;1;1;1;0;0;0;0;0
15;3;8;36;1;1;1;0;0;0;0;0
15;2;3;17;1;1;1;0;0;0;0;0
15;4;6;15;3;0;0;0;1;0;0;0
15;3;3;3;4;1;0;0;0;1;0;0
15;2;7;4;1;1;1;0;0;0;0;0
15;4;2;12;4;1;0;0;0;1;0;0
15;6;7;121;4;1;0;0;0;1;0;0
15;2;7;2;4;1;0;0;0;1;0;0
15;1;3;6;3;1;0;0;1;0;0;0
15;2;4;41;4;1;0;0;0;1;0;0
